periodo,mes,anio,region,canal,categoria,ventas_cop,unidades_vendidas,pedidos_transacciones,ticket_promedio_cop,margen_estimado_pct,margen_estimado_cop,fuente_base,nota_metodologica
2024-01,Enero,2024,Bogota y Cundinamarca,Tienda fisica,Mercado y alimentos,115829324585.0,5636162,592787,195398.0,0.2,23165864917.0,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Tienda fisica,Mercado y alimentos,66881320600.0,718226,430776,155258.0,0.2,13376264120.0,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Tienda fisica,Mercado y alimentos,49581122630.0,1845376,259848,190808.0,0.2,9916224526.0,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Costa Caribe,Tienda fisica,Mercado y alimentos,49307194473.0,1223470,307200,160505.0,0.2,9861438895.0,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Eje Cafetero,Tienda fisica,Mercado y alimentos,24639686448.0,643645,162461,151665.0,0.2,4927937290.0,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Santanderes,Tienda fisica,Mercado y alimentos,23494566980.0,580328,138901,169146.0,0.2,4698913396.0,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Bogota y Cundinamarca,Tienda fisica,Frescos,48963434749.0,2623574,301037,162649.0,0.22,10771955645.0,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Antioquia,Tienda fisica,Frescos,29729016273.0,564058,142838,208131.0,0.22,6540383580.0,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Valle del Cauca,Tienda fisica,Frescos,20615646815.0,393934,92454,222983.0,0.22,4535442299.0,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
2024-01,Enero,2024,Costa Caribe,Tienda fisica,Frescos,20538032466.0,196640,131461,156229.0,0.22,4518367142.0,Grupo Éxito - Informe de Gestión 2024 / Información citada en el documento de la Actividad 8,Dataset sintético académico estimado a partir de cifras públicas; no corresponde a datos internos reales de Grupo Éxito.
